Galaxy,Model,Total Model Mass,Bar Mass,Disk Mass,Bulge Mass,Nucleus Mass,Bar-to-total,Disk-to-total,Bulge-to-total,Nucleus-to-total
NGC4504,DBARN,10.096968383920254,8.387829430700267,10.087285861372797,,7.496814477787662,0.019537142617354914,0.977951860960678,,0.0025109964219670214
NGC4519,DBAR,9.657296037111056,8.332253067448397,9.636247441014829,,,0.04731044470744571,0.9526895552925543,,
NGC4523,DBAR,8.956362251655692,7.385504533700085,8.94453657459636,,,0.02686224352974022,0.9731377564702597,,
NGC4525,DBARN,9.431943029219845,8.165724825092699,9.407350460762776,,6.376513273262612,0.0541728639358861,0.9449469586014962,,0.000880177462617659
NGC4535,DBARB,10.64402161095195,9.06688476034821,10.618627848779495,9.125722608253598,,0.02647665700780712,0.9432053116699428,0.030318031322250135,
NGC4540,DBARN,9.792251888967082,8.647655249785394,9.759638897331634,,6.6137699065402975,0.07168088535701822,0.9276561077897193,,0.0006630068532624387
NGC4548,DBARB,10.650798289812544,9.758584779279934,10.521804529888664,9.760714675700727,,0.1281700310325413,0.7430298138999254,0.12880015506753328,
NGC4559,DBARN,9.914000461809644,8.343930124761927,9.901554400022718,,7.041227776767572,0.026910989262212723,0.9717486326639211,,0.0013403780738662243
NGC4561,DBAR,9.249599099216896,8.044107379228281,9.221661670904606,,,0.06230290256325958,0.9376970974367403,,
NGC4579,DBARB,10.990814929974462,9.87621620123796,10.874280767651149,10.190946606902195,,0.07680708292778886,0.7646555370019411,0.15853738007026993,
NGC4584,DBAR,9.245942868205123,8.160132055565494,9.208752006965673,,,0.082070898371431,0.917929101628569,,
NGC4591,DBARN,9.372020273795611,8.083633763402368,9.329035222862839,,8.0030497535616,0.05147703089467413,0.905763778108913,,0.04275919099641295
NGC4593,DBARBN,10.966376817221091,9.893034295763119,10.8136236134429,10.24570496780256,9.305137220304411,0.08446124494033273,0.7034719678429265,0.1902515267298016,0.02181526048693916
NGC4596,DBARB,10.613007553421676,9.723199347466682,10.403139707879877,10.01841450560632,,0.12888185968192165,0.6167826583503104,0.254335481967768,
NGC4639,DBARB,9.982491922877358,9.22718665141442,9.828280780573536,9.073161881842543,,0.17566883798657668,0.7011143525941638,0.12321680941925955,
NGC4643,DBARB,10.607877549567919,9.8580051392981,10.272526385985687,10.164315757400484,,0.1778801920757888,0.4620072986032475,0.3601125093209636,
NGC4654,DBAR,10.372932197824172,9.022794459551234,10.35309279888039,,,0.04465419470838323,0.9553458052916167,,
NGC4658,DBAR,10.15645110012318,9.506459807083258,10.046381876433793,,,0.22387660220559136,0.7761233977944086,,
NGC4688,DBAR,9.345425945657595,7.852587467388773,9.331234646310605,,,0.03214855977619979,0.9678514402238002,,
NGC4691,DBAR,10.39835010275902,9.819318235700436,10.265455746991872,,,0.263613794785176,0.7363862052148239,,
NGC4713,DBARN,9.689993773021927,7.846697083022586,9.682670364491376,,7.06589495156705,0.014345091079434873,0.9832786094100814,,0.002376299510483882
NGC4725,DBARB,10.978482994256835,9.665855070131164,10.897525893321461,10.062647466352322,,0.04868241069929195,0.8299327431818555,0.12138484611885256,
NGC4733,DBARB,9.854252374808867,8.59204048759173,9.799956271910451,8.652537379588134,,0.05467491452736334,0.8824780198754588,0.06284706559717779,
